Transaction_ID,Customer_ID,Card_Number,Transaction_Date,Transaction_Type,Amount,Currency,Merchant,Category,Installment_Count,Remaining_Installments
TXN864451,CUST0002,2599674682234109,2024-12-24,İade,3003.63,TRY,Uber,Eğlence,3,0
TXN226008,CUST0002,2599674682234109,2025-03-12,Ödeme,2007.9,TRY,Airbnb,Faturalar,6,2
TXN294291,CUST0002,2599674682234109,2025-01-11,Para Çekme,3338.87,TRY,Walmart,Elektronik,6,2
TXN294375,CUST0002,2599674682234109,2024-12-17,İade,2692.8,TRY,Airbnb,Alışveriş,0,0
TXN508929,CUST0002,2599674682234109,2025-02-04,Para Çekme,3394.01,TRY,Netflix,Alışveriş,3,3
TXN857032,CUST0002,2599674682234109,2024-11-09,Satın Alma,4904.0,TRY,Apple Store,Eğlence,0,0
TXN894388,CUST0002,2599674682234109,2024-10-10,Ödeme,1105.23,TRY,Airbnb,Alışveriş,3,2
TXN820321,CUST0002,2599674682234109,2025-02-12,Satın Alma,3471.32,TRY,Spotify,Alışveriş,9,2
TXN454250,CUST0002,2599674682234109,2024-10-01,İade,1790.26,TRY,Uber,Alışveriş,3,3
TXN285445,CUST0002,2599674682234109,2024-11-11,Ödeme,1474.09,TRY,Uber,Yemek,12,12
TXN358739,CUST0002,2599674682234109,2024-12-01,İade,2860.65,TRY,Netflix,Alışveriş,3,1
TXN350654,CUST0002,8876597676761482,2024-11-12,Satın Alma,4881.16,TRY,Spotify,Alışveriş,3,1
TXN484266,CUST0002,8876597676761482,2025-02-14,Satın Alma,4924.43,TRY,Uber,Elektronik,3,3
TXN191514,CUST0002,8876597676761482,2024-12-14,Satın Alma,2448.1,TRY,Walmart,Seyahat,12,3
TXN232534,CUST0002,8876597676761482,2024-10-13,Satın Alma,3892.56,TRY,Apple Store,Alışveriş,9,2
TXN160237,CUST0002,8876597676761482,2024-09-26,İade,2396.56,TRY,Apple Store,Alışveriş,6,3
TXN290375,CUST0002,7163550680459220,2024-12-18,İade,2367.86,TRY,Amazon,Elektronik,0,0
TXN222483,CUST0002,7163550680459220,2025-02-07,Satın Alma,4509.25,TRY,Starbucks,Faturalar,3,1
TXN776894,CUST0002,7163550680459220,2025-01-23,Para Çekme,785.99,TRY,Amazon,Alışveriş,9,7
TXN452469,CUST0002,7163550680459220,2024-12-09,Satın Alma,358.82,TRY,Starbucks,Eğlence,0,0
TXN858182,CUST0002,7163550680459220,2025-02-18,İade,2171.38,TRY,Starbucks,Eğlence,12,0
TXN592120,CUST0002,2758232752130145,2024-11-18,Para Çekme,4975.55,TRY,Airbnb,Seyahat,12,2
TXN655541,CUST0002,2758232752130145,2025-01-05,Ödeme,4504.38,TRY,Spotify,Alışveriş,9,3
TXN614939,CUST0002,2758232752130145,2024-12-18,Ödeme,165.04,TRY,Starbucks,Seyahat,12,10
TXN824427,CUST0002,2758232752130145,2024-10-25,Para Çekme,4527.99,TRY,Apple Store,Seyahat,6,2
TXN636863,CUST0002,2758232752130145,2025-02-06,Satın Alma,2863.01,TRY,Netflix,Eğlence,0,0
TXN356407,CUST0002,2758232752130145,2025-01-12,İade,3063.73,TRY,Amazon,Elektronik,9,8
TXN826118,CUST0003,3661010139138957,2025-01-31,Para Çekme,3893.46,TRY,Starbucks,Eğlence,9,7
TXN344372,CUST0003,3661010139138957,2024-09-28,Ödeme,3217.93,TRY,Walmart,Elektronik,3,3
TXN847514,CUST0003,3661010139138957,2024-11-22,Para Çekme,1269.96,TRY,Netflix,Elektronik,12,7
TXN686462,CUST0003,3661010139138957,2024-12-22,İade,121.0,TRY,Spotify,Seyahat,3,1
TXN452918,CUST0003,3661010139138957,2025-01-09,Ödeme,4363.34,TRY,Spotify,Eğlence,0,0
TXN367983,CUST0003,3661010139138957,2024-12-04,Para Çekme,2985.07,TRY,Walmart,Yemek,12,12
TXN695882,CUST0003,3661010139138957,2025-02-25,İade,3962.53,TRY,Airbnb,Yemek,6,2
TXN625386,CUST0003,3661010139138957,2024-12-01,Satın Alma,2018.84,TRY,Spotify,Market,0,0
TXN668178,CUST0003,3661010139138957,2024-09-25,İade,2681.25,TRY,Airbnb,Seyahat,0,0
TXN927412,CUST0003,4995458514802714,2024-09-30,Para Çekme,2576.35,TRY,Uber,Market,3,1
TXN223159,CUST0003,4995458514802714,2024-09-23,Ödeme,2106.83,TRY,Netflix,Elektronik,9,2
TXN953186,CUST0003,4995458514802714,2024-10-12,Ödeme,3440.62,TRY,IKEA,Seyahat,9,7
TXN474686,CUST0003,4995458514802714,2025-02-08,Satın Alma,1381.29,TRY,Netflix,Eğlence,0,0
TXN128134,CUST0003,4995458514802714,2025-02-16,Satın Alma,3469.72,TRY,IKEA,Yemek,3,0
TXN349245,CUST0003,4995458514802714,2025-01-09,Satın Alma,4663.65,TRY,Airbnb,Seyahat,6,2
TXN870240,CUST0003,4995458514802714,2024-09-27,İade,2476.74,TRY,Netflix,Yemek,3,2
TXN526315,CUST0003,4995458514802714,2025-02-06,Ödeme,1349.43,TRY,Uber,Market,3,0
TXN295633,CUST0003,9487131481917086,2025-02-10,Ödeme,4720.86,TRY,Amazon,Eğlence,3,1
TXN588821,CUST0003,9487131481917086,2024-11-13,İade,3248.23,TRY,Walmart,Yemek,3,2
TXN123754,CUST0003,9487131481917086,2025-01-12,Satın Alma,1697.18,TRY,Netflix,Market,12,0
TXN352223,CUST0003,9487131481917086,2024-10-21,İade,1844.85,TRY,Uber,Alışveriş,12,10
TXN318853,CUST0003,9487131481917086,2024-10-27,Ödeme,19.93,TRY,Apple Store,Elektronik,0,0
TXN464502,CUST0003,9487131481917086,2025-01-14,Para Çekme,3546.37,TRY,Amazon,Seyahat,3,1
TXN894141,CUST0003,9487131481917086,2025-01-17,Para Çekme,3527.44,TRY,Apple Store,Seyahat,9,1
TXN858220,CUST0003,9487131481917086,2024-09-29,Satın Alma,2285.19,TRY,IKEA,Faturalar,6,3
TXN297334,CUST0003,9487131481917086,2025-02-20,Para Çekme,3317.12,TRY,Walmart,Market,0,0
TXN534136,CUST0003,9487131481917086,2025-03-07,Para Çekme,4042.57,TRY,Starbucks,Alışveriş,3,2
TXN908129,CUST0003,9487131481917086,2025-03-12,İade,2023.28,TRY,Walmart,Eğlence,9,7
TXN959178,CUST0003,9487131481917086,2024-11-07,Satın Alma,229.79,TRY,Apple Store,Eğlence,12,10
TXN798671,CUST0003,4453313807672006,2024-10-22,İade,2562.77,TRY,Walmart,Alışveriş,6,3
TXN180537,CUST0003,4453313807672006,2024-10-18,Satın Alma,2811.97,TRY,Amazon,Market,3,1
TXN658870,CUST0003,4453313807672006,2025-01-02,Satın Alma,2900.46,TRY,Netflix,Market,9,9
TXN399743,CUST0003,4453313807672006,2024-12-23,Para Çekme,4968.71,TRY,Airbnb,Eğlence,12,11
TXN174687,CUST0003,4453313807672006,2024-12-08,Ödeme,4346.72,TRY,Uber,Seyahat,0,0
TXN109682,CUST0003,4453313807672006,2024-10-17,Para Çekme,4795.18,TRY,IKEA,Yemek,9,5
TXN688159,CUST0003,4453313807672006,2024-12-31,İade,2683.46,TRY,Spotify,Yemek,6,6
TXN668772,CUST0003,4453313807672006,2025-02-07,Ödeme,284.79,TRY,Starbucks,Alışveriş,12,3
TXN215800,CUST0003,4453313807672006,2025-01-22,Para Çekme,3145.77,TRY,Apple Store,Alışveriş,0,0
TXN954537,CUST0003,6272839393081539,2025-01-18,İade,4236.06,TRY,Netflix,Faturalar,3,3
TXN326077,CUST0003,6272839393081539,2024-09-15,Ödeme,1246.13,TRY,Airbnb,Eğlence,3,3
TXN117238,CUST0003,6272839393081539,2024-09-21,Ödeme,4498.78,TRY,Starbucks,Market,6,0
TXN955786,CUST0003,6272839393081539,2024-12-22,Ödeme,2568.27,TRY,Spotify,Seyahat,12,10
TXN915390,CUST0003,6272839393081539,2025-01-17,İade,2153.34,TRY,Starbucks,Eğlence,9,1
TXN304104,CUST0003,6272839393081539,2024-09-17,Satın Alma,3548.05,TRY,Spotify,Alışveriş,3,0
TXN337472,CUST0003,6272839393081539,2024-12-02,İade,345.23,TRY,IKEA,Market,0,0
TXN504258,CUST0004,7725717634305692,2024-11-22,İade,1214.15,TRY,Starbucks,Market,6,5
TXN155560,CUST0004,7725717634305692,2025-01-28,Ödeme,1170.81,TRY,Apple Store,Eğlence,12,0
TXN318876,CUST0004,7725717634305692,2025-02-16,Para Çekme,1393.89,TRY,Spotify,Faturalar,12,8
TXN668448,CUST0004,7725717634305692,2024-11-30,Para Çekme,1698.28,TRY,Spotify,Market,9,8
TXN507728,CUST0004,7725717634305692,2024-12-08,Satın Alma,3323.75,TRY,Amazon,Yemek,6,4
TXN221335,CUST0004,7725717634305692,2025-01-09,Satın Alma,1320.78,TRY,Walmart,Elektronik,3,0
TXN790985,CUST0004,7725717634305692,2024-10-28,Ödeme,2338.13,TRY,Walmart,Elektronik,0,0
TXN937516,CUST0004,7725717634305692,2025-01-27,İade,2456.65,TRY,Airbnb,Alışveriş,12,5
TXN569631,CUST0004,7725717634305692,2024-12-09,Satın Alma,750.49,TRY,Netflix,Yemek,3,2
TXN265036,CUST0004,7725717634305692,2024-09-30,Ödeme,2904.62,TRY,Apple Store,Alışveriş,6,6
TXN204655,CUST0004,7725717634305692,2024-10-20,Ödeme,2536.87,TRY,Starbucks,Market,6,2
TXN296384,CUST0004,7725717634305692,2024-09-15,İade,2131.71,TRY,IKEA,Elektronik,9,6
TXN740320,CUST0004,7725717634305692,2025-01-29,İade,3450.83,TRY,Netflix,Eğlence,12,1
TXN609180,CUST0004,7725717634305692,2024-09-18,Satın Alma,4062.44,TRY,Apple Store,Faturalar,9,1
TXN513267,CUST0004,7725717634305692,2024-09-24,Para Çekme,2198.42,TRY,Amazon,Market,9,9
TXN407479,CUST0004,9641107344193305,2024-10-31,İade,955.46,TRY,Amazon,Market,0,0
TXN991325,CUST0004,9641107344193305,2025-03-08,Para Çekme,4180.79,TRY,Netflix,Yemek,6,0
TXN169398,CUST0004,9641107344193305,2025-03-07,Ödeme,3035.6,TRY,Airbnb,Elektronik,0,0
TXN275922,CUST0004,9641107344193305,2025-02-07,Para Çekme,4888.93,TRY,Walmart,Faturalar,6,6
TXN336658,CUST0004,9641107344193305,2025-02-06,Ödeme,3382.08,TRY,Spotify,Alışveriş,12,12
TXN838022,CUST0004,9641107344193305,2024-12-15,Satın Alma,4248.17,TRY,Netflix,Eğlence,6,1
TXN985714,CUST0004,9641107344193305,2024-10-02,Para Çekme,3577.37,TRY,Airbnb,Alışveriş,6,1
TXN659060,CUST0004,9641107344193305,2025-03-03,Satın Alma,1368.99,TRY,IKEA,Alışveriş,6,6
TXN634885,CUST0004,9641107344193305,2025-01-14,Para Çekme,306.73,TRY,Walmart,Elektronik,6,2
TXN372008,CUST0004,2591839097222232,2024-10-15,İade,1593.55,TRY,Spotify,Seyahat,9,7
TXN441424,CUST0004,2591839097222232,2025-03-10,Satın Alma,562.48,TRY,Apple Store,Yemek,3,3
TXN108312,CUST0004,2591839097222232,2025-02-01,Ödeme,2467.74,TRY,Spotify,Faturalar,9,8
TXN617826,CUST0004,2591839097222232,2024-10-01,İade,1459.27,TRY,Airbnb,Market,9,3
TXN271760,CUST0004,2591839097222232,2024-09-28,Para Çekme,1210.98,TRY,Airbnb,Market,12,5
TXN411270,CUST0004,2591839097222232,2025-02-04,İade,4420.48,TRY,Amazon,Elektronik,0,0
TXN447825,CUST0004,2591839097222232,2024-11-08,İade,2319.62,TRY,Airbnb,Alışveriş,0,0
TXN801167,CUST0004,2591839097222232,2024-10-15,İade,897.81,TRY,Uber,Yemek,0,0
TXN938518,CUST0004,1792900707995124,2025-01-15,Satın Alma,2524.08,TRY,Airbnb,Seyahat,6,5
TXN169244,CUST0004,1792900707995124,2024-12-21,Ödeme,3177.55,TRY,Walmart,Faturalar,3,2
TXN787026,CUST0004,1792900707995124,2025-03-03,Satın Alma,1000.81,TRY,Walmart,Elektronik,3,3
TXN844111,CUST0004,1792900707995124,2024-09-20,İade,4197.51,TRY,Spotify,Faturalar,9,5
TXN543904,CUST0004,1792900707995124,2024-10-04,Ödeme,1270.0,TRY,Spotify,Faturalar,0,0
TXN964496,CUST0004,1792900707995124,2024-11-17,Satın Alma,518.04,TRY,Uber,Eğlence,9,6
TXN984933,CUST0004,1792900707995124,2024-11-10,İade,4660.12,TRY,IKEA,Alışveriş,0,0
TXN290257,CUST0004,1792900707995124,2025-03-06,Para Çekme,74.2,TRY,Netflix,Yemek,6,4
TXN563571,CUST0004,4602763060993585,2025-01-09,Para Çekme,4379.65,TRY,Airbnb,Faturalar,3,0
TXN822666,CUST0004,4602763060993585,2025-02-07,Satın Alma,173.01,TRY,Walmart,Seyahat,6,6
TXN227499,CUST0004,4602763060993585,2024-11-25,Satın Alma,3338.17,TRY,Amazon,Elektronik,6,0
TXN285563,CUST0004,4602763060993585,2025-02-27,Satın Alma,1517.61,TRY,Netflix,Eğlence,3,2
TXN533293,CUST0004,4602763060993585,2024-09-29,Ödeme,3592.21,TRY,Spotify,Faturalar,9,4
TXN776855,CUST0004,4602763060993585,2025-02-09,Para Çekme,3064.55,TRY,Apple Store,Yemek,6,5
TXN254520,CUST0004,4602763060993585,2024-11-17,İade,1157.19,TRY,Uber,Seyahat,9,4
TXN407186,CUST0004,4602763060993585,2024-11-09,İade,4445.84,TRY,Airbnb,Market,9,6
TXN464820,CUST0004,4602763060993585,2025-01-17,İade,4301.42,TRY,Apple Store,Seyahat,12,2
TXN238104,CUST0004,4602763060993585,2024-12-04,İade,1808.36,TRY,Netflix,Eğlence,9,3
TXN385233,CUST0004,4602763060993585,2025-01-13,Satın Alma,824.84,TRY,IKEA,Market,0,0
TXN555496,CUST0004,4602763060993585,2024-10-13,Para Çekme,4382.19,TRY,IKEA,Faturalar,6,0
TXN921879,CUST0004,4602763060993585,2024-09-21,Para Çekme,1610.35,TRY,Spotify,Alışveriş,3,2
TXN537054,CUST0004,4602763060993585,2024-10-02,Ödeme,3856.52,TRY,Spotify,Elektronik,9,1
TXN731628,CUST0005,1699090411842566,2024-12-06,Ödeme,1881.13,TRY,Spotify,Seyahat,12,5
TXN882541,CUST0005,1699090411842566,2024-11-14,Satın Alma,4717.64,TRY,Netflix,Yemek,6,1
TXN675290,CUST0005,1699090411842566,2024-12-31,Satın Alma,3833.12,TRY,Netflix,Elektronik,9,3
TXN555217,CUST0005,1699090411842566,2024-10-02,Para Çekme,4960.0,TRY,IKEA,Yemek,9,4
TXN646180,CUST0005,1699090411842566,2024-12-28,Ödeme,4086.1,TRY,Apple Store,Market,6,0
TXN896166,CUST0005,1699090411842566,2025-02-25,Para Çekme,3773.34,TRY,IKEA,Faturalar,9,7
TXN326303,CUST0005,1699090411842566,2024-11-22,İade,308.33,TRY,Apple Store,Seyahat,0,0
TXN559873,CUST0005,1699090411842566,2025-01-24,Para Çekme,1296.52,TRY,Walmart,Elektronik,3,0
TXN149905,CUST0005,8034224731375534,2024-09-19,İade,546.61,TRY,Spotify,Yemek,12,7
TXN891608,CUST0005,8034224731375534,2025-02-24,Ödeme,466.17,TRY,Walmart,Elektronik,3,1
TXN797250,CUST0005,8034224731375534,2024-12-13,Para Çekme,1881.95,TRY,Airbnb,Seyahat,12,1
TXN274312,CUST0005,8034224731375534,2024-12-09,Satın Alma,501.66,TRY,Netflix,Market,12,12
TXN663015,CUST0005,8034224731375534,2025-03-06,Para Çekme,2849.37,TRY,Uber,Alışveriş,0,0
TXN198767,CUST0005,8034224731375534,2024-11-03,Ödeme,3571.95,TRY,IKEA,Eğlence,9,9
TXN292557,CUST0005,8034224731375534,2024-10-20,Ödeme,3303.5,TRY,Apple Store,Yemek,3,3
TXN851892,CUST0005,8034224731375534,2024-11-05,Satın Alma,251.4,TRY,Spotify,Elektronik,0,0
TXN965910,CUST0005,8034224731375534,2025-01-24,Ödeme,3081.22,TRY,Netflix,Eğlence,0,0
TXN697844,CUST0005,8034224731375534,2025-01-21,Para Çekme,3910.4,TRY,Spotify,Elektronik,0,0
TXN342032,CUST0005,8034224731375534,2025-03-12,Ödeme,2466.95,TRY,Apple Store,Faturalar,12,0
TXN470124,CUST0005,8034224731375534,2025-02-08,Para Çekme,3829.53,TRY,Spotify,Market,0,0
TXN774175,CUST0005,8034224731375534,2025-01-09,Para Çekme,3285.7,TRY,IKEA,Eğlence,9,1
TXN913318,CUST0005,8034224731375534,2024-09-29,Para Çekme,833.48,TRY,Netflix,Market,3,1
TXN126337,CUST0005,8034224731375534,2024-10-05,Ödeme,1566.07,TRY,Netflix,Market,9,1
TXN872749,CUST0005,4224568409073573,2024-10-10,Ödeme,2462.93,TRY,Uber,Faturalar,0,0
TXN638710,CUST0005,4224568409073573,2024-11-12,Satın Alma,3163.24,TRY,Spotify,Yemek,12,5
TXN991654,CUST0005,4224568409073573,2025-02-02,Ödeme,4378.94,TRY,Uber,Eğlence,12,10
TXN819646,CUST0005,4224568409073573,2025-03-10,Para Çekme,4576.23,TRY,Amazon,Faturalar,3,1
TXN622726,CUST0005,4224568409073573,2025-02-01,Para Çekme,3239.84,TRY,Apple Store,Yemek,6,6
TXN484088,CUST0005,4224568409073573,2024-10-03,Para Çekme,380.02,TRY,Airbnb,Alışveriş,0,0
TXN136114,CUST0005,4224568409073573,2024-10-11,Ödeme,2726.95,TRY,Airbnb,Seyahat,9,2
TXN957221,CUST0005,4224568409073573,2024-10-21,Ödeme,4987.75,TRY,Starbucks,Seyahat,0,0
TXN703225,CUST0005,4224568409073573,2024-10-20,Ödeme,4829.89,TRY,Netflix,Alışveriş,9,3
TXN656674,CUST0005,4224568409073573,2025-02-23,İade,3681.47,TRY,Walmart,Faturalar,3,1
TXN237583,CUST0005,4224568409073573,2024-11-27,Satın Alma,1788.05,TRY,Airbnb,Faturalar,3,1
TXN619326,CUST0005,4224568409073573,2024-10-15,Ödeme,2865.59,TRY,Airbnb,Yemek,12,7
TXN248594,CUST0005,5743906008372029,2025-01-21,İade,3678.54,TRY,Uber,Yemek,12,4
TXN439570,CUST0005,5743906008372029,2024-12-29,İade,2712.37,TRY,Amazon,Yemek,6,5
TXN743518,CUST0005,5743906008372029,2025-01-05,Satın Alma,2458.14,TRY,Netflix,Faturalar,6,3
TXN131513,CUST0005,5743906008372029,2024-10-26,İade,2445.74,TRY,Netflix,Alışveriş,0,0
TXN203213,CUST0005,5743906008372029,2024-10-05,Satın Alma,2991.04,TRY,Spotify,Elektronik,9,2
TXN798171,CUST0005,5743906008372029,2024-11-12,İade,2281.83,TRY,Uber,Seyahat,12,8
TXN858944,CUST0005,5743906008372029,2024-09-24,Satın Alma,3415.18,TRY,Amazon,Alışveriş,9,0
TXN464016,CUST0005,5743906008372029,2025-03-03,Ödeme,4026.71,TRY,Apple Store,Market,12,10
TXN947122,CUST0005,5743906008372029,2025-01-04,İade,4929.47,TRY,Netflix,Alışveriş,6,6
TXN373778,CUST0005,5743906008372029,2024-12-24,İade,3051.17,TRY,Spotify,Eğlence,3,2
TXN566259,CUST0005,5743906008372029,2025-01-08,Satın Alma,2534.75,TRY,Starbucks,Market,12,9
TXN641056,CUST0005,5743906008372029,2024-11-17,Satın Alma,2013.03,TRY,Starbucks,Seyahat,3,2
TXN331115,CUST0005,5743906008372029,2024-12-28,İade,2513.95,TRY,Amazon,Eğlence,9,9
TXN507024,CUST0005,5743906008372029,2024-09-26,Ödeme,592.06,TRY,IKEA,Alışveriş,9,8
TXN204365,CUST0005,9839547165274916,2024-11-27,Para Çekme,586.47,TRY,Starbucks,Market,12,9
TXN819362,CUST0005,9839547165274916,2024-11-15,İade,3393.08,TRY,Apple Store,Yemek,0,0
TXN750868,CUST0005,9839547165274916,2024-12-04,Satın Alma,3984.71,TRY,Apple Store,Yemek,9,7
TXN541521,CUST0005,9839547165274916,2024-10-25,Satın Alma,1843.9,TRY,Uber,Alışveriş,12,9
TXN472760,CUST0005,9839547165274916,2024-11-13,İade,624.11,TRY,Spotify,Seyahat,3,2
TXN656046,CUST0005,9839547165274916,2025-01-31,Para Çekme,1813.3,TRY,IKEA,Market,9,6
TXN904804,CUST0005,9839547165274916,2024-12-07,Satın Alma,4754.26,TRY,Spotify,Seyahat,3,2
TXN721384,CUST0005,9839547165274916,2025-01-09,Ödeme,551.08,TRY,Starbucks,Alışveriş,9,0
TXN643092,CUST0005,9839547165274916,2025-02-16,Para Çekme,4814.36,TRY,Uber,Yemek,12,3
